season_num,episode_num,episode_name,air_datetime,episode_len
1,1,Insecure as Fuck,2016-10-09 22:30 -0400,30
1,2,Messy as Fuck,2016-10-16 22:30 -0400,30
1,3,Racist as Fuck,2016-10-23 22:30 -0400,30
1,4,Thirsty as Fuck,2016-10-30 22:30 -0400,30
1,5,Shady as Fuck,2016-11-06 22:30 -0500,30
1,6,Guilty as Fuck,2016-11-13 22:30 -0500,30
1,7,Real as Fuck,2016-11-20 22:30 -0500,30
1,8,Broken as Fuck,2016-11-27 22:30 -0500,30
2,1,Hella Great,2017-07-23 22:30 -0400,30
2,2,Hella Questions,2017-07-30 22:30 -0400,30
2,3,Hella Open,2017-08-06 22:30 -0400,30
2,4,Hella LA,2017-08-13 22:30 -0400,30
2,5,Hella Shook,2017-08-20 22:30 -0400,30
2,6,Hella Blows,2017-08-27 22:30 -0400,30
2,7,Hella Disrespectful,2017-09-03 22:30 -0400,30
2,8,Hella Perspective,2017-09-10 22:30 -0400,30
3,1,Better-Like,2018-08-12 22:30 -0400,30
3,2,Familiar-Like,2018-08-19 22:30 -0400,30
3,3,Backwards-Like,2018-08-26 22:30 -0400,30
3,4,Fresh-Like,2018-09-02 22:30 -0400,30
3,5,High-Like,2018-09-09 22:30 -0400,30
3,6,Ready-Like,2018-09-16 22:30 -0400,30
3,7,Obsessed-Like,2018-09-23 22:30 -0400,30
3,8,Ghost-Like,2018-09-30 22:30 -0400,30
